priority,issue,row_number,venue_key,pub_name,place_name,postcode,pin_type,current_lat,current_lng,current_source,postcode_displacement_metres,reference_name,reference_lat,reference_lng,difference_metres,reference_url,audit_status
1,listing_postcode_conflicts_with_venue_reference,803,crossways (bottlecraft)|newcastle-u-l: central|st5 1rw,Crossways (Bottlecraft),Newcastle-U-L: Central,ST5 1RW,venue,53.0127842,-2.2245969,google-maps-named-place,47.4,Crossways (Bottlecraft),53.012849268734,-2.224678251486,9.1,https://camra.org.uk/pubs/195497,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,710,burton rugby club|burton u-t: branston|de13 9ff,Burton Rugby Club,Burton U-T: Branston,DE13 9FF,venue,52.7893745,-1.6834532,google-maps-named-place,84.0,Burton Rugby Football Club,52.7893,-1.6835,8.9,https://camra.org.uk/pubs/196798,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,947,bulls head|nailstone|cv13 0qe,Bulls Head,Nailstone,CV13 0QE,venue,52.65975373333333,-1.3862997166666666,openstreetmap-gb-extract,226.1,Bulls Head,52.65968,-1.38633,8.4,https://camra.org.uk/pubs/181822,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,550,rams head|lowton|wa3 2ey,Rams Head,Lowton,WA3 2EY,venue,53.475426218181816,-2.5811427727272727,openstreetmap-gb-extract,416.4,Rams Head Inn,53.47537,-2.581216,7.9,https://camra.org.uk/pubs/170979,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,925,bird in hand|austrey|cv9 3ee,Bird in Hand,Austrey,CV9 3EE,venue,52.6531183,-1.5630947545454545,openstreetmap-gb-extract,43.2,Bird in Hand,52.653079153262,-1.563002536211,7.6,https://camra.org.uk/pubs/181770,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,298,mall|bristol: clifton|bs8 4dr,Mall,Bristol: Clifton,BS8 4DR,venue,51.45637530833333,-2.621618991666667,openstreetmap-gb-extract,179.8,Mall,51.456401824951,-2.621720075607,7.6,https://camra.org.uk/pubs/114046,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,468,bell|halton holegate|pe23 5ny,Bell,Halton Holegate,PE23 5NY,venue,53.1652169,0.1178604,openstreetmap-gb-extract,430.4,Bell Inn,53.165154,0.117821,7.5,https://camra.org.uk/pubs/167970,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,873,white hart|tean|st10 4dz,White Hart,Tean,ST10 4DZ,venue,52.9537639,-1.988268,openstreetmap-gb-extract,53.7,White Hart,52.953733,-1.988171,7.4,https://camra.org.uk/pubs/128019,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,100,old black swan|crich|de4 5dd,Old Black Swan,Crich,DE4 5DD,venue,53.084615581818184,-1.478402390909091,openstreetmap-gb-extract,81.4,Old Black Swan,53.084596222142,-1.478505364418,7.2,https://camra.org.uk/pubs/165834,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,895,waveney|lowestoft: oulton broad|nr32 3ln,Waveney,Lowestoft: Oulton Broad,NR32 3LN,venue,52.473285139999994,1.70988504,openstreetmap-gb-extract,369.6,Waveney,52.473223,1.709892,6.9,https://camra.org.uk/pubs/133832,reference_agrees_within_50m_postcode_conflict
