venue_key,lat,lng,reference_name,reference_address,source,source_url,corroborating_source_url,checked_at,review_note
dead dove|worcester: central|wr1 2lt,52.1886066,-2.2190526,The Dead Dove,"College St, Worcester WR1 2LT",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=The+Dead+Dove+Worcester+WR1+2LT,,2026-09-13,name place and full postcode agree
doveside social club (pmc)|hatton|de65 5ez,52.8652076,-1.6823627,Doveside Social Club,"Jinny Close, Hatton DE65 5EZ",manual-multiple-source-map-review,https://mw.maptons.com/2540953,https://ratings.food.gov.uk/business/234128,2026-09-13,named place coordinate plus official FSA address
dyers arms|leek|st13 8jz,53.1095142,-2.0362443,Dyers Arms,"Macclesfield Rd, Leek ST13 8JZ",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Dyers+Arms+Leek+ST13+8JZ,,2026-09-13,name place and full postcode agree
george|youlgrave|de45 1uw,53.1762642,-1.684656,George Hotel Youlgreave,"Alport Lane, Youlgreave DE45 1WN",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=George+Hotel+Youlgreave,,2026-09-13,listing postcode conflicts; exact name and village agree
great western|deppers bridge|cv47 2st,52.2339159,-1.4323514,Great Western,"Deppers Bridge, Southam CV47 2ST",official-venue-map-link,https://thegreatwestern.pub/find-us/,,2026-09-13,official venue map link and full postcode
h|angel inn|l1 4hy,53.4027146,-2.9777435,The Angel Inn,"90 Bold St, Liverpool L1 4HY",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=The+Angel+Inn+Liverpool+L1+4HY,,2026-09-13,source pub name appears truncated; place and full postcode agree
kenilworth sporting ground|kenilworth|cv8 1fa,52.3310922,-1.5782505,Kenilworth Sporting Ground,"Gypsy Ln, Kenilworth CV8 1FA",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Kenilworth+Sporting+Ground+CV8+1FA,,2026-09-13,name place and full postcode agree
kings arms|brighton|bn2 1rj,50.8211532,-0.1345786,Kings Arms,"George St, Brighton BN2 1RJ",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Kings+Arms+Brighton+BN2+1RJ,https://www.craftunionpubs.com/kings-arms-brighton,2026-09-13,name address and full postcode agree
lancaster inn|woodhall spa|ln10 6st,53.1518516,-0.2141953,The Inn at Woodhall Spa / Lancaster Bar,"The Broadway, Woodhall Spa LN10 6ST",google-maps-and-official-address,https://www.google.com/maps/search/?api=1&query=The+Inn+at+Woodhall+Spa+LN10+6ST,https://www.theinnatwoodhallspa.co.uk/dine/,2026-09-13,official site identifies Lancaster Bar at this exact venue and postcode
mason brewing taproom|threemilestone|tr4 9ld,50.2622391,-5.1247196,Mason Brewing Co,"Unit D Cedar Units, Threemilestone TR4 9LD",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Mason+Brewing+Co+TR4+9LD,,2026-09-13,brewery identity and full postcode agree
